Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Month,DayOfWeek,Quarter,IsWeekend,Profit_Margin,Revenue_Per_Unit,Retailer_enc,Region_enc,State_enc,City_enc,Product_enc,Target
Walmart,1128299,2021-06-17,Southeast,Florida,Orlando,Women's Apparel,103.0,218,2245,1257,Online,6,3,2,0,55.99,10.3,4,3,8,39,3,1
West Gear,1128299,2021-07-16,South,Louisiana,New Orleans,Women's Apparel,103.0,163,1679,806,Online,7,4,3,0,48.0,10.3,5,2,17,34,3,1
Sports Direct,1197831,2021-08-25,South,Alabama,Birmingham,Men's Street Footwear,10.0,700,7000,3150,Outlet,8,2,3,0,45.0,10.0,3,2,0,6,2,2
Sports Direct,1197831,2021-08-27,South,Alabama,Birmingham,Women's Street Footwear,15.0,575,8625,3881,Outlet,8,4,3,0,45.0,15.0,3,2,0,6,5,2
Sports Direct,1197831,2021-08-21,South,Alabama,Birmingham,Women's Street Footwear,15.0,475,7125,3206,Outlet,8,5,3,1,45.0,15.0,3,2,0,6,5,2
West Gear,1185732,2021-01-11,Midwest,Missouri,St. Louis,Women's Street Footwear,15.0,475,7125,2494,In-store,1,0,1,0,35.0,15.0,5,0,24,49,5,0
Sports Direct,1185732,2021-11-17,South,Mississippi,Jackson,Men's Athletic Footwear,20.0,450,9000,3150,Online,11,2,4,0,35.0,20.0,3,2,23,24,1,1
Sports Direct,1197831,2021-01-23,South,Mississippi,Jackson,Women's Street Footwear,15.0,450,6750,2700,Online,1,5,1,1,40.0,15.0,3,2,23,24,5,1
West Gear,1185732,2021-04-03,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,20.0,450,9000,2700,In-store,4,5,2,1,30.0,20.0,5,0,48,32,2,0
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,44.0,434,1910,993,Outlet,3,1,1,0,51.99,4.4,1,1,31,35,2,2
Foot Locker,1185732,2021-01-18,Midwest,Michigan,Detroit,Women's Street Footwear,20.0,425,8500,2975,In-store,1,0,1,0,35.0,20.0,1,0,21,18,5,0
West Gear,1185732,2021-02-11,Midwest,Missouri,St. Louis,Women's Street Footwear,15.0,425,6375,2231,In-store,2,3,1,0,35.0,15.0,5,0,24,49,5,0
West Gear,1185732,2021-06-11,West,Utah,Salt Lake City,Women's Street Footwear,20.0,425,8500,2975,In-store,6,4,2,0,35.0,20.0,5,4,43,45,5,0
Amazon,1185732,2021-04-10,Midwest,Ohio,Columbus,Women's Street Footwear,20.0,425,8500,3400,Online,4,5,2,1,40.0,20.0,0,0,34,14,5,1
Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,Women's Street Footwear,15.0,425,6375,2550,Online,3,1,1,0,40.0,15.0,1,2,23,24,5,1
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Women's Street Footwear,20.0,425,8500,3400,Online,9,3,3,0,40.0,20.0,4,2,23,24,5,1
Walmart,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Apparel,20.0,425,8500,3400,Online,2,6,1,1,40.0,20.0,4,2,3,27,3,1
Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Men's Athletic Footwear,20.0,425,8500,2975,Online,10,3,4,0,35.0,20.0,4,2,3,27,1,1
Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,48.0,420,2016,1129,Outlet,5,6,2,1,56.0,4.8,4,1,31,35,2,2
Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,39.0,408,1591,875,Outlet,4,6,2,1,55.0,3.9,4,1,31,35,2,2
Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,46.0,403,1854,1038,Outlet,4,0,2,0,55.99,4.6,4,1,31,35,2,2
West Gear,1185732,2021-03-10,West,Utah,Salt Lake City,Women's Street Footwear,20.0,400,8000,2800,In-store,3,2,1,0,35.0,20.0,5,4,43,45,5,0
West Gear,1185732,2021-06-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,400,8000,3200,In-store,6,4,2,0,40.0,20.0,5,4,43,45,4,0
West Gear,1185732,2021-10-11,West,Utah,Salt Lake City,Men's Athletic Footwear,20.0,400,8000,2800,In-store,10,0,4,0,35.0,20.0,5,4,43,45,1,0
West Gear,1185732,2021-11-11,West,Utah,Salt Lake City,Men's Athletic Footwear,20.0,400,8000,2800,In-store,11,3,4,0,35.0,20.0,5,4,43,45,1,0
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Women's Athletic Footwear,20.0,400,8000,3200,Online,9,3,3,0,40.0,20.0,4,2,23,24,4,1
Sports Direct,1197831,2021-02-21,South,Mississippi,Jackson,Women's Street Footwear,15.0,400,6000,2400,Online,2,6,1,1,40.0,15.0,3,2,23,24,5,1
Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,47.0,400,1880,978,Outlet,3,2,1,0,52.02,4.7,1,1,31,35,2,2
Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,40.0,390,1560,811,Outlet,1,5,1,1,51.99,4.0,1,1,31,35,2,2
Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,33.0,388,1280,666,Outlet,1,1,1,0,52.03,3.3,1,1,31,35,2,2
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,34.0,384,1306,679,Outlet,1,2,1,0,51.99,3.4,1,1,31,35,2,2
Foot Locker,1185732,2021-02-07,Southeast,Georgia,Atlanta,Men's Street Footwear,31.0,376,1166,559,Outlet,2,6,1,1,47.94,3.1,1,3,9,3,2,2
Sports Direct,1197831,2021-08-22,South,Alabama,Birmingham,Women's Athletic Footwear,20.0,375,7500,4125,Outlet,8,6,3,1,55.0,20.0,3,2,0,6,4,2
Foot Locker,1185732,2021-02-18,Midwest,Michigan,Detroit,Women's Street Footwear,20.0,375,7500,2625,In-store,2,3,1,0,35.0,20.0,1,0,21,18,5,0
West Gear,1185732,2021-08-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,375,7500,3000,In-store,8,2,3,0,40.0,20.0,5,4,43,45,4,0
West Gear,1185732,2021-11-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,375,7500,3000,In-store,11,3,4,0,40.0,20.0,5,4,43,45,4,0
Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Women's Street Footwear,15.0,375,5625,2250,Online,4,5,2,1,40.0,15.0,1,2,23,24,5,1
West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Men's Athletic Footwear,15.0,375,5625,1969,Online,11,5,4,1,35.0,15.0,5,2,3,27,1,1
West Gear,1197831,2021-01-23,South,Arkansas,Little Rock,Women's Street Footwear,15.0,375,5625,2250,Online,1,5,1,1,40.0,15.0,5,2,3,27,5,1
Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,41.0,375,1538,800,Outlet,3,0,1,0,52.02,4.1,1,1,31,35,2,2
Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,29.0,374,1085,445,Outlet,8,2,3,0,41.01,2.9,4,2,42,22,5,2
Walmart,1197831,2020-09-01,South,Texas,Houston,Women's Street Footwear,29.0,374,1085,445,Outlet,9,1,3,0,41.01,2.9,4,2,42,22,5,2
Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Street Footwear,33.0,372,1228,663,Outlet,1,4,1,0,53.99,3.3,1,1,31,35,2,2
Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,44.0,366,1610,837,Outlet,2,3,1,0,51.99,4.4,1,1,31,35,2,2
Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,56.0,360,2016,1250,Online,4,6,2,1,62.0,5.6,4,1,31,35,2,1
Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,37.0,359,1328,452,Outlet,3,1,1,0,34.04,3.7,1,1,31,35,1,2
Walmart,1185732,2020-04-18,Northeast,New York,New York,Women's Apparel,48.0,355,1704,511,Outlet,4,5,2,1,29.99,4.8,4,1,31,35,3,2
Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,46.0,354,1628,1026,Online,1,5,1,1,63.02,4.6,1,1,31,35,2,1
Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Women's Apparel,47.0,352,1654,447,Outlet,3,6,1,1,27.03,4.7,1,1,31,35,3,2
Foot Locker,1185732,2021-03-17,Midwest,Missouri,St. Louis,Women's Street Footwear,25.0,350,8750,3063,In-store,3,2,1,0,35.01,25.0,1,0,24,49,5,0
Foot Locker,1185732,2021-06-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.0,350,8750,3500,In-store,6,4,2,0,40.0,25.0,1,0,24,49,4,0
Foot Locker,1185732,2021-10-18,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25.0,350,8750,3063,In-store,10,0,4,0,35.01,25.0,1,0,24,49,1,0
